platform,property_id,title,description,price_etb,subcity,sq_m,bedrooms,bathrooms,is_furnished,url
ethiopianproperties,1726,Fabulous 4 bedroom House for Rent in Addis Ababa,"Solid and charming split-level house
Great design by an Italian architect
Sauna bath
Spacious balconies
Hardwood floors
Beautiful garden
Located in the hills
Yet easy access to downtown",640000.0,Other,,,,False,
ethiopianproperties,1724,5 Bedroom House with Stunning Garden,"Well maintained house
5 Bedrooms, 3 bathrooms
Beautiful wooden floors
Big and well maintained garden
Convenient yet quiet neighborhood
Former residence of many high level diplomats",1120000.0,Other,,,,False,
ethiopianproperties,1723,3 Bedroom Furnished House,"Recently Renovated
Fully furnished
Good standard bathrooms
Modern and big kitchen
Beautiful wooden floors
Nice yard with garden
",400000.0,Other,,,,True,
ethiopianproperties,1720,One Bedroom Apartment for Rent in Bole,"Cozy 1 Bedroom Apartment on the ground floor of a beautiful apartment building
Fully furnished with high quality imported furniture
Amazing rooftop terrace decorated with beautiful flowers
Perfect barbecue space
Wonderful outdoor furniture
Basement parking
24/7 security
Water reservoir
Backup generator
Elevator",240000.0,Bole,,,,True,
ethiopianproperties,1719,Cozy Villa for Rent on the Yeka Hills,"Well maintained house situated in the hills
Perfect sanctuary for a small family
3 bedrooms and 1.5 bathrooms
Matured and beautiful garden + a vegetable garden
Great value for money
Covered carport
Quiet and peaceful neighborhood
In close proximity to town but away from all the hustle & bustle of downtown Addis",160000.0,Other,,,,False,
ethiopianproperties,1717,Newly Finished Top Class Apartment in Bole,"World class apartment (newly finished)
Conveniently located only a block away from Cameroon Street
Beautiful design and superb finishing (European standard)
Fully furnished (with including washer/dryer, dishwasher, bedsheets, etc.)
High quality imported furniture top from European manufacturers
2 fully equipped kitchens (1 open and 1 closed)
Nice balconies

Additional Amenities
Double glazed windows
Power stabilizer for the whole building
High capacity Backup generator
Well equipped gym
Properly done emergency exit
Smoke detectors, firsehose
Garbage chute on every floor
Only one unit per floor and a total of only 8 units
Covered parking
24/7 security
Reception
Elevator
All inclusive rent (utilities, internet, security, gym and maintenance)",960000.0,Bole,,,,True,
ethiopianproperties,1716,2 Bedroom World Class Apartment with Private Terrace,"World class apartment (newly finished)
Conveniently located only a block away from Cameroon Street
Beautiful design and superb finishing (European standard)
Fully furnished (with including washer/dryer, dishwasher, bedsheets, etc.)
High quality imported furniture top from European manufacturers
2 fully equipped kitchens (1 open and 1 closed)
Spacious Private terrace with outdoor furniture

Additional Amenities
Double glazed windows
Power stabilizer for the whole building
High capacity Backup generator
Well equipped gym
Properly done emergency exit
Smoke detectors, firsehose
Garbage chute on every floor
Only one unit per floor and a total of only 8 units
Covered parking
24/7 security
Reception
Elevator
All inclusive rent (utilities, internet, security, gym and maintenance)",960000.0,Other,,,,True,
ethiopianproperties,1712,Wonderful House in Yeka Hills,"3 bedroom double story house
Simple and functional
Beautiful matured garden
Quiet and peaceful area
Beautiful well polished wooden floors
Spacious balcony with amazing view
Good natural lights in all parts of the house
Great area quality
Lots of multipurpose rooms in the service quarter",560000.0,Other,,,,False,
ethiopianproperties,1711,"Apartment for Lease in Bole, Welo Sefer","Very neat 2 bedroom apartment for rent
Very spacious living room and master bedroom
Balconies with great view
Modern fittings and great finishing
Peaceful and quiet residential neighborhood
Business center/co-working space on site
Gymnasium & dry cleaning in the building
Running track on the terrace
A mini market on site
Card access
Concierge service
Allocated parking
24/7 security
Many great amenities walking distance to the place",400000.0,Bole,,,,False,
ethiopianproperties,1708,3 Bedroom Apartment for Rent in Kazanchis,"High-end apartment with superior finishing
Worldclass amenities second to none
Well equipped gym
Sauna and steam baths
Lounge with indoor garden and kitchen
Professional management
Spacious and well lit units
Basement parking
Big balconies
Secured compound in compliance with UN standards
",560000.0,Kirkos,,,,False,
ethiopianproperties,1707,Furnished House for Rent in Bole,"Simple and functional house
Magnificent garden
Nice balconies with garden view
Beautiful wooden floors
Nicely furnished 3 bedroom house
Situated in a quiet gated community
Rent is negotiable",640000.0,Bole,,,,True,
ethiopianproperties,1705,Luxurious Villa in Lebu,"Luxurious house for rent in Lebu
Modern 6 bedroom 6 bathroom house
En suite master with walk-in closet and built in sauna
Two kitchens, one large open style modern kitchen and a closed traditional kitchen
Garden space and ample parking area
Stained glass windows and high ceilings with chandeliers
Electric fence and alarm system installed
Situated in a beautiful residential area",320000.0,Nifas-Silk-Lafto,,,,False,
ethiopianproperties,1703,Newly Renovated House for Rent in Bole,"Beautifully designed cozy family home
Recently renovated to a good standard
Can be leased with or without furniture
Nice hardwood floors
Nice terrace overlooking the garden and a quiet and green alley road
Asphalted access road
Several service rooms that can be used for storage, maid’s room, excercise room, etc.",800000.0,Bole,,,,False,
ethiopianproperties,1702,Historical House for Rent in Addis Ababa,"Historical house built over a hundred years ago
Well maintained while preserving its original characteristics
Modern bathroom
Beautiful high ceilings
Original parquet floors (still in great shape)
Functional fire place
Main house consists of 2 bedrooms, a nice bathroom, a sitting area and a dining space
Another open plan cottage that can serve any purpose you want
Yet another cottage that can serve as storage
A sauna room with outdoor shower
Beautiful matured garden with lush grass and big trees
Good size vegetable garden (you can produce to be self sufficient)
One of the biggest (park like compounds you can find), which is fenced with great masonry work
If you are someone who appreciates historical architecture, call us to arrange a viewing to this fascinating bungalow",720000.0,Other,,,,False,
ethiopianproperties,1701,Furnished Apartment for Lease in Old Airport,"Fully furnished 2/3 bedroom apartment
Furnished living room with dining tableand sofa set
2 good size and well furnished bedrooms with cupboards
1 small bed room with 90cm bed
2 bathrooms
1 closed kitchen fitted with fridge, oven.
Laundry room with washing machine
All furniture are new
Other Features
165msq, elevator,generator, owen water source (borehole), 1 parking space, spacious corridors, 3rd floor",352000.0,Nifas-Silk-Lafto,,,,True,
ethiopianproperties,1700,Neatly Furnished 3 Bedroom Villa in Bole,"Beautiful hardwood floors
Neatly furnished
Covered carport
Several service rooms
Well maintained garden
Convenient location
walking distance to Namibia Street",640000.0,Bole,,,,True,
ethiopianproperties,1699,Furnished 3 Bedroom Apartment in Bole,"Fully furnished
Spacious unit
Clean and tidy
Good natural lights
Convenient location off Bole Road
Backup generator
Garbage chute
Basement parking
Maid’s room outside the main unit",400000.0,Bole,,,,True,
ethiopianproperties,1698,Brand New 3 Bedroom Apartment,"Brand new apartment
Superbly finished
Wonderful open plan design
Extra storage space
Convenient yet quiet location
Only 20 units in the building
Comes with communal sauna and steam rooms
Equipped gymnasium for residents only
Elevator
24/7 security
Professional management",480000.0,Other,,,,False,
ethiopianproperties,1697,Fully Furnished Grade A Apartment in Bole,"Built and owned by a reputable construction company
Tastefully furnished (including bedding, towels)
Decorated with beautiful art works
All you need to bring is your suitcase and personal effects
Located on an accessible yet quiet street (5 minuets from Bole International Airport)
Terrace with barbecue and sitting area
Terrace both with shade and open parts
Wonderful green roof dotted with beautiful flowers
Balconies decorated with green plants and colorful flowers
Good natural lights in all rooms
Elevator
Gym
Backup generator
Reception area
Call to arrange a visit or any query",560000.0,Bole,,,,True,
ethiopianproperties,1696,Beautiful 1 Bedroom Apartment for Rent,"Built and owned by a reputable construction company
Tastefully furnished (including bedding, towels)
Decorated with beautiful art works
All you need to bring is your suitcase and personal effects
Located on an accessible yet quiet street (5 minuets from Bole International Airport)
Terrace with barbecue and sitting area
Terrace both with shade and open parts
Wonderful green roof dotted with beautiful flowers
Balconies decorated with green plants and colorful flowers
Good natural lights in all rooms
Elevator
Gym
Backup generator
Reception area
Call to arrange a visit or any query",272000.0,Bole,,,,True,
